video_id,date,views,likes,comments,watch_time_minutes,video_length_minutes,subscribers,category,device,country,ad_revenue_usd
vid_3499,2025-01-27 10:50:40.993199,9907,259.0,345.0,29364.636392197568,4.937057117085802,289586,Music,Mobile,AU,200.4411504929144
vid_3463,2025-04-14 10:50:40.993199,10141,1350.0,292.0,52475.82056719401,13.350590632963796,645353,Lifestyle,TV,UK,328.45935652235363
vid_2432,2024-07-01 10:50:40.993199,10103,1776.0,276.0,56912.909655741576,25.436674077817337,55696,Lifestyle,Desktop,IN,356.22699084672047
vid_1862,2024-06-22 10:50:40.993199,10110,1453.0,169.0,49562.09773969223,14.06801789125534,517047,Gaming,TV,CA,314.21723706303146
vid_142,2025-03-13 10:50:40.993199,10150,1356.0,484.0,31683.71613421434,20.66597642065592,982157,Entertainment,Tablet,US,233.8842276180274
vid_2392,2025-03-29 10:50:40.993199,9812,942.0,241.0,37339.46645099784,23.55627145500935,161197,Entertainment,Mobile,AU,247.49526098006768
vid_1889,2024-09-24 10:50:40.993199,10032,316.0,298.0,28542.91503061452,19.71088362503139,885505,Entertainment,Desktop,IN,197.39028846679665
vid_3532,2025-03-14 10:50:40.993199,9902,1008.0,446.0,53785.67618415672,22.179338362829583,604573,Lifestyle,Tablet,DE,330.1582113985668
vid_2325,2024-10-31 10:50:40.993199,9944,822.0,145.0,45017.45349087245,14.41083467337968,492365,Lifestyle,TV,US,280.6687086088524
vid_460,2024-09-15 10:50:40.993199,9889,531.0,382.0,18206.885357689644,20.474291672268397,245343,Entertainment,Mobile,IN,153.05463992451251
vid_219,2025-01-10 10:50:40.993199,10011,1302.0,375.0,47238.0580346969,6.878540224522581,482373,Tech,Tablet,CA,303.6899444201609
vid_2916,2024-11-09 10:50:40.993199,9674,704.0,71.0,49249.56059112387,12.853054953751526,271106,Music,TV,IN,295.9143507736411
vid_156,2024-12-06 10:50:40.993199,9980,1605.0,362.0,20357.267391239588,2.997089468201232,918333,Gaming,TV,US,181.78230782667623
vid_2784,2024-11-19 10:50:40.993199,10077,1964.0,82.0,37420.39320794681,2.6422979304466176,749227,Tech,Mobile,UK,264.09023224333544
vid_2893,2024-12-07 10:50:40.993199,9765,845.0,139.0,24713.07445730352,22.27956691065948,725100,Music,TV,DE,184.30251384760632
vid_1063,2025-05-27 10:50:40.993199,10117,212.0,179.0,29366.39242735953,21.5191433041623,712275,Gaming,Desktop,US,197.8827058811252
vid_3182,2024-10-27 10:50:40.993199,10014,,485.0,40126.721955062974,9.81106267317977,321713,Lifestyle,Mobile,DE,270.98673348260127
vid_3947,2025-06-07 10:50:40.993199,9987,885.0,305.0,56559.05868919374,28.9282390393762,101426,Gaming,Mobile,AU,339.13884457306983
vid_2791,2025-02-25 10:50:40.993199,10022,1418.0,417.0,15325.061112494022,6.2730081315014505,762921,Gaming,TV,UK,156.0078977850152
vid_1268,2024-07-29 10:50:40.993199,10018,585.0,82.0,38512.70311973318,2.407192311936964,348618,Lifestyle,Tablet,CA,245.23119429627064
vid_2286,2024-07-08 10:50:40.993199,10144,1208.0,119.0,29796.792338074967,25.60534842888416,763638,Education,Mobile,US,216.13988397333804
vid_2804,2025-04-18 10:50:40.993199,10073,1764.0,416.0,37775.82194324956,18.529306423917923,393284,Entertainment,TV,DE,268.0481773323179
vid_4816,2024-07-28 10:50:40.993199,10009,1431.0,337.0,24683.7425289294,27.456825972169547,433616,Entertainment,Tablet,DE,198.91044752033645
vid_2874,2025-02-23 10:50:40.993199,10165,1720.0,61.0,49774.544111669646,23.00022105599369,899865,Entertainment,Tablet,US,318.2381836945744
vid_2872,2024-07-18 10:50:40.993199,10081,630.0,359.0,56038.5049251123,10.961630335235013,259601,Music,Mobile,AU,333.7197944133709
vid_1162,2024-10-12 10:50:40.993199,9868,325.0,101.0,46765.953990836046,8.101467382115692,974234,Tech,Tablet,AU,279.2177291410997
vid_1308,2024-06-23 10:50:40.993199,9909,1240.0,232.0,45017.197583219386,8.809324892599689,372144,Education,Desktop,UK,289.1647512744233
vid_488,2025-05-10 10:50:40.993199,9874,1273.0,81.0,56087.93573106352,3.059298608449906,282073,Entertainment,Tablet,UK,339.1476699413209
vid_2894,2025-04-13 10:50:40.993199,9897,1281.0,128.0,19321.50958148507,12.629142615185868,756535,Lifestyle,TV,UK,166.87618547743745
vid_2737,2024-06-21 10:50:40.993199,9994,1837.0,,38672.26708167099,13.82432809591111,726889,Lifestyle,Mobile,IN,268.16759812992075
vid_2996,2025-02-11 10:50:40.993199,9921,429.0,427.0,37955.481573188,15.999891160373112,122154,Gaming,TV,DE,245.3471548932532
vid_3454,2024-12-15 10:50:40.993199,10098,1094.0,474.0,37936.98255569818,9.05806698709911,118820,Music,Tablet,CA,258.4195750129638
vid_4198,2024-09-19 10:50:40.993199,9900,678.0,,42363.13471706027,12.837858442064023,381687,Music,Tablet,UK,268.5099407303703
vid_1641,2025-03-19 10:50:40.993199,9866,248.0,333.0,36078.27603824216,6.0347785331775,256209,Gaming,Desktop,CA,231.48390892474845
vid_1521,2024-10-29 10:50:40.993199,9838,1704.0,252.0,55923.74863122789,20.044416326108237,765839,Tech,Mobile,CA,348.5328159316789
vid_1061,2025-05-24 10:50:40.993199,9997,1978.0,450.0,18963.454725773827,29.95955706341199,31840,Tech,TV,US,183.22307437315257
vid_2379,2024-11-21 10:50:40.993199,10000,822.0,355.0,26038.5019429536,11.13550362786793,528240,Entertainment,Tablet,AU,195.0928903728513
vid_2917,2024-06-12 10:50:40.993199,10077,1769.0,315.0,50111.67323881576,7.26708278761895,557804,Tech,Mobile,US,324.57684415091853
vid_2714,2024-08-25 10:50:40.993199,9935,517.0,433.0,16419.263656445448,22.49267899844464,347850,Tech,TV,CA,145.50244374714055
vid_53,2025-03-04 10:50:40.993199,10024,1360.0,133.0,58428.89718003855,4.2587156036252924,639636,Gaming,Desktop,AU,353.3548171389705
vid_1150,2025-04-12 10:50:40.993199,9977,1176.0,252.0,44520.83174172751,11.528813287433945,492670,Entertainment,Tablet,IN,286.42268002984605
vid_4559,2024-11-19 10:50:40.993199,9937,996.0,147.0,50358.73886464328,25.755758039485464,664327,Education,Mobile,UK,308.83889032853364
vid_4093,2024-06-27 10:50:40.993199,9964,1746.0,297.0,41786.46989499743,4.343792913007223,59027,Lifestyle,Tablet,US,284.0339200935822
vid_1139,2025-01-24 10:50:40.993199,9920,481.0,281.0,17754.476389124233,17.642199655102775,579333,Music,Desktop,DE,148.48797368843637
vid_2064,2024-06-12 10:50:40.993199,10107,1883.0,123.0,44325.57322849295,13.157253043024111,410365,Gaming,TV,DE,296.1137675208111
vid_3754,2024-12-01 10:50:40.993199,9860,1102.0,187.0,15475.20940902879,15.781998202835112,823065,Education,Desktop,CA,146.48739926435422
vid_2273,2024-11-27 10:50:40.993199,10121,1817.0,317.0,35072.979176155066,11.484881261478687,935041,Music,Desktop,IN,254.76500933146505
vid_1039,2025-05-08 10:50:40.993199,10091,693.0,304.0,46544.90995809528,18.95414846078781,231667,Lifestyle,Tablet,DE,289.1515049659262
vid_3672,2025-02-11 10:50:40.993199,10076,509.0,157.0,31745.207428803496,26.444813731450985,485395,Gaming,Mobile,UK,213.61060984576235
vid_1630,2024-08-07 10:50:40.993199,9768,872.0,345.0,55314.20248019699,22.713894395666603,336422,Tech,Desktop,IN,332.592907998957
vid_3566,2025-03-21 10:50:40.993199,10068,888.0,281.0,41349.08503355604,13.551256540411904,487138,Music,Mobile,IN,267.49198853073534
vid_3084,2025-04-26 10:50:40.993199,9941,974.0,225.0,32583.63272543633,8.214359177049431,445071,Music,Mobile,DE,226.020851533778
vid_371,2025-02-18 10:50:40.993199,9847,,100.0,46143.11290055063,24.59352777949065,564765,Tech,Desktop,US,294.1498748420127
vid_273,2024-06-12 10:50:40.993199,10018,933.0,236.0,40232.35070239511,5.4415974483293565,839085,Lifestyle,Desktop,UK,261.9665850308577
vid_275,2024-07-16 10:50:40.993199,9805,469.0,50.0,43455.46901779648,14.227720364460708,612902,Education,Desktop,IN,264.880498622538
vid_4873,2025-04-03 10:50:40.993199,10101,535.0,,59215.09748651047,6.5744194885169085,701780,Education,TV,DE,344.9330069773528
vid_4154,2024-12-25 10:50:40.993199,10093,621.0,493.0,36713.02671221875,9.99412600599375,180141,Education,Tablet,IN,244.82008161350856
vid_1789,2024-08-24 10:50:40.993199,10063,1246.0,296.0,46738.05601548809,18.46902379133106,833765,Lifestyle,Mobile,US,299.28331493900333
vid_4302,2024-10-04 10:50:40.993199,10096,1361.0,137.0,43130.43479195792,28.31947808609429,258730,Entertainment,TV,UK,281.6907554326557
vid_409,2025-04-03 10:50:40.993199,10111,1145.0,397.0,55910.61329743684,10.448096247895734,794712,Lifestyle,Tablet,CA,342.7777623797891
vid_2119,2024-09-26 10:50:40.993199,10073,922.0,233.0,,9.971576293855886,35478,Lifestyle,TV,CA,341.9590473590009
vid_792,2025-01-31 10:50:40.993199,10036,1898.0,275.0,24865.20051948146,11.774170851800912,939239,Education,TV,AU,206.86749598098191
vid_706,2024-08-24 10:50:40.993199,9985,1777.0,281.0,43167.032837144856,21.13766975003033,205757,Entertainment,Tablet,AU,290.90986187971254
vid_2590,2024-09-03 10:50:40.993199,10121,1608.0,230.0,43024.29411815335,24.694179688376803,691046,Education,TV,DE,287.16431104387783
vid_899,2025-01-10 10:50:40.993199,10089,713.0,101.0,26233.43051334715,18.55746913435303,691502,Gaming,Desktop,CA,190.23660417048623
vid_540,2024-10-23 10:50:40.993199,9992,1268.0,339.0,55736.85714289815,28.57387250551172,362989,Music,Desktop,UK,342.4557239183384
vid_2914,2025-05-09 10:50:40.993199,10014,1235.0,299.0,43955.0747011696,20.97861432733144,911996,Lifestyle,TV,US,285.770042161332
vid_2788,2024-07-10 10:50:40.993199,9855,511.0,236.0,40810.9802110371,21.249772146485533,14768,Entertainment,Tablet,DE,256.5921977636966
vid_4165,2025-05-05 10:50:40.993199,10028,320.0,53.0,23972.336974819715,28.508577746372016,367082,Entertainment,Desktop,CA,171.6791416736768
vid_327,2024-12-22 10:50:40.993199,9898,1427.0,115.0,15320.608970671725,19.875635271914632,656786,Lifestyle,TV,CA,150.30492504657386
vid_1363,2024-12-29 10:50:40.993199,9985,1120.0,490.0,50218.24035943791,9.934155833079654,993128,Music,TV,DE,316.4530974984532
vid_447,2025-05-31 10:50:40.993199,10023,1442.0,186.0,37017.64591725999,28.74629367423129,51884,Gaming,TV,CA,254.7257912902213
vid_137,2024-07-05 10:50:40.993199,10129,539.0,322.0,35355.61356865985,21.629428904586696,422185,Music,Desktop,AU,234.25968293596853
vid_2808,2025-04-28 10:50:40.993199,9977,221.0,238.0,55156.85911072152,7.609510646015674,116815,Gaming,Mobile,IN,319.91206617544617
vid_2145,2025-06-05 10:50:40.993199,9935,1396.0,194.0,39420.22864352875,6.451261168781375,4680,Music,Mobile,IN,264.9412193019248
vid_3007,2024-06-25 10:50:40.993199,10142,1072.0,74.0,31004.67541071822,4.386028858232211,810174,Lifestyle,TV,DE,218.7131602647821
vid_4269,2024-07-02 10:50:40.993199,9899,1617.0,265.0,39198.68609825135,14.884976320871957,207533,Music,TV,IN,268.7278817879165
vid_3592,2025-04-14 10:50:40.993199,10061,1681.0,80.0,50015.11171658395,15.949335640978903,375410,Lifestyle,Desktop,AU,318.48672033043994
vid_1274,2024-06-18 10:50:40.993199,10155,1436.0,110.0,23449.57230736688,19.64036662747313,1347,Entertainment,Mobile,CA,190.03703314990517
vid_1895,2025-03-08 10:50:40.993199,10031,1052.0,276.0,27251.921056985917,27.323158020696944,713194,Lifestyle,Tablet,IN,203.5704104597276
vid_46,2024-08-03 10:50:40.993199,9912,1508.0,147.0,57323.95625399455,11.266193033319556,932090,Entertainment,TV,US,350.3463207718064
vid_2393,2024-09-16 10:50:40.993199,9977,1451.0,363.0,26123.29993248181,26.739167212913703,151108,Education,Tablet,UK,206.3211778901856
vid_4543,2024-09-15 10:50:40.993199,9965,514.0,226.0,47802.60730174942,23.765560627941245,857919,Tech,Desktop,CA,290.00730490571766
vid_640,2024-08-17 10:50:40.993199,9787,1567.0,379.0,25328.74650225497,23.92446824149166,934834,Tech,Mobile,CA,203.85398322148373
vid_3927,2025-05-04 10:50:40.993199,10111,1470.0,200.0,23031.115358272506,28.997192797666138,424286,Entertainment,Mobile,CA,189.96617732411485
vid_2453,2025-04-13 10:50:40.993199,9928,1890.0,164.0,36631.14060926304,25.110239791219858,61914,Education,TV,UK,259.7304229640559
vid_891,2024-09-05 10:50:40.993199,10165,1080.0,128.0,29258.49970515753,25.89603410783748,424379,Entertainment,Mobile,IN,211.6662074804653
vid_2795,2024-09-03 10:50:40.993199,10141,483.0,446.0,55019.63198560753,9.668066744394906,163948,Entertainment,Tablet,AU,328.1976640316733
vid_4983,2025-04-12 10:50:40.993199,9860,692.0,459.0,33783.75478974945,21.144223723938293,740396,Entertainment,TV,CA,230.43183508011384
vid_4013,2024-12-09 10:50:40.993199,10038,1910.0,,39474.64272120485,15.27752305325647,430930,Tech,TV,IN,272.4203069359646
vid_194,2025-05-17 10:50:40.993199,9940,1977.0,316.0,44804.88313352945,3.789047809642285,491651,Education,Mobile,CA,302.43612564152323
vid_524,2025-03-03 10:50:40.993199,9978,1151.0,449.0,26335.276812719945,10.056715172723678,542689,Tech,TV,UK,203.64766745783788
vid_1735,2024-12-29 10:50:40.993199,9863,644.0,415.0,44907.331192554535,7.050256549215986,977049,Tech,Mobile,CA,281.3087276799089
vid_1386,2024-12-12 10:50:40.993199,10040,1586.0,330.0,41531.945073530886,8.951298941444087,768658,Education,Tablet,IN,281.047149870626
vid_3855,2025-03-04 10:50:40.993199,10080,1831.0,71.0,54195.67401832145,22.01440794462409,935407,Lifestyle,Mobile,CA,340.7185446018499
vid_4417,2025-03-13 10:50:40.993199,9903,1726.0,403.0,21713.51896444654,19.89339670844384,729374,Tech,Tablet,CA,190.5595550666453
vid_530,2024-07-06 10:50:40.993199,10004,1092.0,402.0,45967.07782208881,15.763148547864732,981094,Tech,Mobile,US,294.5161046396558
vid_1137,2024-12-24 10:50:40.993199,9998,1855.0,109.0,40243.93351450131,29.47516481942857,452226,Tech,TV,UK,275.580929823152
vid_4949,2024-06-19 10:50:40.993199,9981,923.0,441.0,35894.72785879433,16.55741422940748,479824,Entertainment,Desktop,DE,244.67545652654636
vid_729,2024-10-23 10:50:40.993199,10105,1791.0,157.0,30776.503971557995,6.026210976921158,408243,Tech,Mobile,US,231.2289098697989
vid_3835,2025-01-13 10:50:40.993199,10098,655.0,235.0,43020.267482124735,28.94908028193347,942044,Education,Tablet,CA,270.73187831245383
vid_682,2025-03-09 10:50:40.993199,10076,1143.0,463.0,34177.77472391408,4.384758438613275,336555,Tech,Tablet,IN,241.23514630488117
vid_4155,2025-03-19 10:50:40.993199,9851,714.0,267.0,20626.972161707537,17.59418453418889,47042,Tech,Mobile,DE,165.43497052962852
vid_1786,2025-02-28 10:50:40.993199,10007,1597.0,420.0,38657.77511533735,8.4720244199452,539195,Gaming,Tablet,US,269.0607526661148
vid_2795,2024-10-08 10:50:40.993199,10050,1923.0,488.0,37533.01935010845,3.8511739470231983,605523,Education,Desktop,US,270.75391518368593
vid_3173,2025-04-09 10:50:40.993199,9984,695.0,466.0,41925.399667916405,3.85256664065944,629038,Tech,Desktop,US,269.6338726041809
vid_4714,2024-11-09 10:50:40.993199,10179,1289.0,122.0,43354.56288362555,9.708201715814983,40879,Education,Tablet,DE,281.6845782894992
vid_1095,2025-01-17 10:50:40.993199,10092,707.0,492.0,39128.04326157735,5.413437028247866,698409,Education,TV,US,257.6614778531333
vid_3832,2025-03-28 10:50:40.993199,9811,391.0,294.0,28570.180902689208,27.641808598671226,309813,Entertainment,Desktop,DE,197.58763954699748
vid_1187,2025-03-22 10:50:40.993199,9957,645.0,232.0,16102.842720849532,19.491491828157145,394594,Gaming,Tablet,UK,142.87061788594644
vid_4223,2024-11-23 10:50:40.993199,10011,910.0,171.0,56709.79387140911,29.389421022859835,949000,Tech,Mobile,DE,338.10111900061713
vid_1130,2025-05-18 10:50:40.993199,10034,1847.0,338.0,16394.462979093023,11.694149270079258,121077,Entertainment,Mobile,DE,167.1277290589608
vid_2677,2024-06-20 10:50:40.993199,9984,1460.0,205.0,55574.38259816203,27.154146220272253,739304,Tech,Mobile,UK,342.6449151689091
vid_3489,2025-05-04 10:50:40.993199,9948,970.0,72.0,27270.010441019196,8.670601413346054,801407,Tech,TV,AU,198.3076481293948
vid_249,2024-10-22 10:50:40.993199,10089,280.0,486.0,37036.823159001855,21.276294797243786,71843,Tech,Mobile,IN,240.3445913450404
vid_1239,2025-03-20 10:50:40.993199,10056,1392.0,234.0,51954.30919056249,27.971514165293403,314915,Entertainment,Tablet,US,325.2827914860408
vid_3549,2024-06-23 10:50:40.993199,10046,1466.0,87.0,48491.087937598,26.362224761131458,946483,Lifestyle,Desktop,CA,307.6485306763308
vid_232,2024-08-17 10:50:40.993199,9925,1265.0,85.0,42130.92289190608,22.09292506008305,956007,Tech,Mobile,AU,273.5438155710598
vid_3141,2024-09-09 10:50:40.993199,9865,470.0,288.0,,17.406716957552,984185,Entertainment,Desktop,IN,327.8367006053625
vid_2789,2024-12-18 10:50:40.993199,9913,1171.0,486.0,39699.221499878186,7.716311291893254,189017,Gaming,Tablet,UK,267.2934650343564
vid_2578,2025-02-06 10:50:40.993199,10043,1826.0,234.0,,23.755478658890965,518423,Music,Tablet,CA,245.9286484857532
vid_3239,2024-12-17 10:50:40.993199,9975,1136.0,298.0,50548.58612756341,14.48363514727844,338705,Gaming,Desktop,AU,314.9334464751352
vid_4151,2024-07-19 10:50:40.993199,9975,643.0,171.0,24539.5409849331,17.224618860178236,835589,Entertainment,TV,US,181.6567167469069
vid_2355,2025-03-30 10:50:40.993199,10106,1993.0,78.0,58399.07620844766,11.865452117876783,251077,Gaming,Mobile,IN,363.5757669573433
vid_1726,2024-10-16 10:50:40.993199,9847,613.0,149.0,18042.87601707429,16.39054360388622,30706,Lifestyle,Mobile,IN,149.46728533322184
vid_4034,2024-10-21 10:50:40.993199,9989,550.0,498.0,18959.24266406479,29.161969149324097,290059,Lifestyle,TV,DE,159.44298715114203
vid_2313,2024-09-11 10:50:40.993199,10115,1109.0,215.0,30802.66123177869,18.936415810106944,765630,Gaming,Mobile,AU,220.6794253066283
vid_237,2025-01-10 10:50:40.993199,10062,1338.0,378.0,46447.491108829294,10.910736505190457,266489,Lifestyle,TV,AU,300.89882522516257
vid_67,2024-08-09 10:50:40.993199,10149,932.0,259.0,38874.50094953725,29.945969916812444,407030,Education,Mobile,CA,256.6256371611022
vid_201,2025-02-05 10:50:40.993199,10154,930.0,87.0,25371.549635842894,23.48076323352412,240761,Entertainment,Tablet,AU,190.0009440843078
vid_2445,2025-02-05 10:50:40.993199,9994,1526.0,350.0,47088.63160973131,18.083042261050068,596865,Gaming,Mobile,US,306.3171746328154
vid_770,2024-07-22 10:50:40.993199,10103,898.0,488.0,15767.358966689437,16.712297919701484,617782,Education,Desktop,UK,150.79804745576342
vid_4643,2024-11-27 10:50:40.993199,10015,1874.0,97.0,38549.16039052167,3.507042087719812,822659,Music,TV,UK,267.79974960948914
vid_1017,2024-07-22 10:50:40.993199,10021,,448.0,55290.0728803954,13.778110197313357,7264,Tech,TV,DE,350.0050507869948
vid_3246,2024-08-16 10:50:40.993199,10220,1002.0,84.0,55034.81715288356,16.766552344449586,384462,Lifestyle,Tablet,US,331.37929040361905
vid_4479,2025-04-12 10:50:40.993199,9958,1222.0,140.0,31651.356778983376,14.622953152564705,857161,Education,TV,DE,224.51571842637728
vid_4566,2024-11-17 10:50:40.993199,10061,296.0,58.0,30231.230528508066,3.805951432671092,860336,Lifestyle,Mobile,AU,201.0323019213655
vid_474,2025-01-17 10:50:40.993199,10008,1012.0,437.0,50975.56169688842,25.710851644983112,78582,Gaming,TV,IN,317.37619128517946
vid_1800,2024-10-21 10:50:40.993199,10087,315.0,366.0,33560.281432121126,10.475845258243195,998355,Education,Desktop,UK,222.48296560251316
vid_3250,2025-04-14 10:50:40.993199,10131,1270.0,371.0,32775.77805542739,11.404049541728938,583928,Music,Desktop,DE,235.51351193591503
vid_2015,2025-03-27 10:50:40.993199,10105,1617.0,480.0,46951.00912684973,11.243613904828536,770534,Lifestyle,TV,US,310.04510700960805
vid_4477,2025-06-06 10:50:40.993199,9998,1714.0,97.0,32324.315959192496,20.685190978685736,606690,Tech,TV,AU,235.61394539224216
vid_4365,2025-04-29 10:50:40.993199,10088,1465.0,346.0,57603.5804766143,14.885601703598274,286235,Gaming,Mobile,IN,355.26287527659315
vid_2974,2024-12-21 10:50:40.993199,10173,676.0,337.0,30558.951581660294,25.201243504019203,211039,Music,TV,UK,214.4873836986856
vid_2647,2025-03-11 10:50:40.993199,9879,277.0,113.0,58535.16203106321,10.609489085980014,726131,Gaming,Tablet,AU,334.142650003716
vid_3462,2024-12-05 10:50:40.993199,10008,716.0,,22906.15838092872,8.202336838287913,909270,Lifestyle,Desktop,IN,175.76081762015593
vid_168,2024-06-28 10:50:40.993199,9999,,90.0,33682.128969352736,24.49574976568786,423142,Lifestyle,Tablet,UK,237.67221353757392
vid_3164,2024-08-19 10:50:40.993199,9997,1030.0,56.0,57313.85294564508,9.924561431610506,839829,Music,Mobile,US,340.9619683175227
vid_1595,2024-06-14 10:50:40.993199,10028,809.0,155.0,39978.107831513415,17.1697890064436,906279,Lifestyle,Mobile,IN,257.29664465537803
vid_3280,2024-06-14 10:50:40.993199,10047,517.0,,26320.531794422604,20.981182698007125,338769,Lifestyle,Mobile,CA,192.9033884906455
vid_3968,2025-02-18 10:50:40.993199,10117,1075.0,147.0,15606.961550664228,22.88445103202488,314063,Tech,Mobile,US,147.29606784161058
vid_4787,2025-06-07 10:50:40.993199,10123,1672.0,252.0,44914.55056314385,9.367073616543475,848432,Lifestyle,TV,DE,297.5645255798045
vid_2797,2025-04-11 10:50:40.993199,9910,,107.0,52875.493565780205,17.650131387673554,277838,Lifestyle,Desktop,US,312.5886080877673
vid_2852,2024-10-28 10:50:40.993199,10073,1937.0,95.0,52217.92170149502,17.15473322167177,687879,Music,Tablet,UK,333.59224378623884
vid_1310,2024-11-14 10:50:40.993199,9979,1368.0,117.0,30834.676325384982,21.93768066631226,471513,Lifestyle,Mobile,IN,222.8889118748404
vid_4245,2025-06-06 10:50:40.993199,9987,441.0,258.0,28852.66502042638,3.380530162489088,167154,Gaming,Tablet,IN,200.0770731039297
vid_2904,2024-10-18 10:50:40.993199,10046,1206.0,395.0,33098.5565588775,26.462119152164554,904750,Lifestyle,Desktop,US,235.90488520784976
vid_750,2025-03-18 10:50:40.993199,9977,1346.0,93.0,28797.523978799312,17.907316086344125,128836,Education,TV,UK,212.4836454613809
vid_1952,2024-11-08 10:50:40.993199,10081,458.0,,26964.37597452088,3.8221948150109535,489569,Gaming,Mobile,US,194.46598239253032
vid_2297,2024-09-19 10:50:40.993199,10034,1146.0,409.0,49788.41722361241,2.131557207878027,997045,Lifestyle,TV,CA,313.7366858711871
vid_2103,2024-10-17 10:50:40.993199,10005,1198.0,273.0,50867.50954754628,11.688191313665651,143434,Tech,Mobile,AU,317.22926614322284
vid_2450,2024-11-09 10:50:40.993199,9952,418.0,252.0,55826.77290672228,27.188728754014058,752117,Tech,Mobile,UK,326.5666701765411
vid_4958,2024-10-14 10:50:40.993199,10018,1096.0,384.0,35846.93418199036,8.666897542974725,742122,Education,Desktop,UK,246.636648939896
vid_14,2025-04-19 10:50:40.993199,10181,358.0,280.0,17538.75704678828,27.728424475988422,855014,Tech,TV,CA,146.69963804848297
vid_195,2025-03-09 10:50:40.993199,10237,798.0,315.0,32568.702561409445,8.645101539004811,595266,Music,Desktop,IN,226.0146267820363
vid_1483,2025-04-15 10:50:40.993199,10008,1305.0,61.0,31148.36155903057,20.72556416761725,461276,Education,Tablet,UK,222.4735985760099
vid_4850,2025-05-23 10:50:40.993199,9916,1761.0,159.0,23547.62457844168,29.052661377706315,560757,Tech,Desktop,IN,195.6820899036792
vid_413,2025-03-29 10:50:40.993199,10052,764.0,188.0,19563.45043520092,21.12080909963028,321444,Tech,Tablet,US,160.96981518659652
vid_414,2024-08-23 10:50:40.993199,10004,1632.0,83.0,34022.94754258436,2.9595680699664664,30508,Tech,TV,DE,242.0034811361562
vid_1677,2024-11-15 10:50:40.993199,9972,1705.0,151.0,37074.52055309938,3.9102110206782106,625955,Tech,Mobile,UK,258.6469150682028
vid_1289,2025-01-06 10:50:40.993199,9852,495.0,100.0,16203.78160108315,29.983150069347783,893017,Education,Mobile,UK,137.9525732240019
vid_1196,2024-06-30 10:50:40.993199,10008,1238.0,,59849.301692490095,25.82688095266088,954631,Tech,Tablet,UK,359.24612980714414
vid_3973,2024-06-30 10:50:40.993199,10066,832.0,263.0,24442.82444088012,4.138258917843364,3930,Lifestyle,Desktop,AU,186.5045349087382
vid_2417,2024-08-31 10:50:40.993199,10229,1458.0,335.0,43317.37984388008,22.72276930788749,16759,Tech,Tablet,CA,288.33536574880475
vid_357,2025-03-13 10:50:40.993199,10015,1250.0,486.0,,28.40622473811737,396446,Lifestyle,Mobile,AU,340.1739936834831
vid_3327,2025-05-15 10:50:40.993199,9844,272.0,350.0,15433.477308494854,2.7730243177729306,992630,Tech,TV,IN,134.7433215203893
vid_4777,2024-08-26 10:50:40.993199,9961,527.0,272.0,45733.69750122762,29.27320949365267,838203,Education,Mobile,DE,281.2465680471695
